year,series,region_or_material,value,unit,source,method
,sorting_electricity_per_tonne_recycled,MSW,39.0,kWh_per_tonne,"UNEP 2024, Global Waste Management Outlook 2024, annex 3, p. 61",transcribed
,sorting_transport_per_tonne_recycled,MSW,50.0,tonne_km_per_tonne,"UNEP 2024, Global Waste Management Outlook 2024, annex 3, p. 61",transcribed
,epa_packaging_investment_low,US_residential_packaging,22000000000.0,USD,"US EPA 2024, An Assessment of the U.S. Recycling System: Financial Estimates to Improve Recycling Infrastructure, section 2.1",transcribed
,epa_packaging_investment_high,US_residential_packaging,28000000000.0,USD,"US EPA 2024, An Assessment of the U.S. Recycling System: Financial Estimates to Improve Recycling Infrastructure, section 2.1",transcribed
,epa_packaging_added_recovery_low,US_residential_packaging,38000000.0,tonnes_per_year,"US EPA 2024, An Assessment of the U.S. Recycling System: Financial Estimates to Improve Recycling Infrastructure, section 2.1",transcribed
,epa_packaging_added_recovery_high,US_residential_packaging,45000000.0,tonnes_per_year,"US EPA 2024, An Assessment of the U.S. Recycling System: Financial Estimates to Improve Recycling Infrastructure, section 2.1",transcribed
,epa_packaging_rate_from,US_residential_packaging,32.0,percent,"US EPA 2024, An Assessment of the U.S. Recycling System: Financial Estimates to Improve Recycling Infrastructure, section 2.1",transcribed
,epa_packaging_rate_to_low,US_residential_packaging,45.0,percent,"US EPA 2024, An Assessment of the U.S. Recycling System: Financial Estimates to Improve Recycling Infrastructure, section 2.1",transcribed
,epa_packaging_rate_to_high,US_residential_packaging,47.0,percent,"US EPA 2024, An Assessment of the U.S. Recycling System: Financial Estimates to Improve Recycling Infrastructure, section 2.1",transcribed
,epa_all_investment_low,US_residential_packaging_and_organics,36000000000.0,USD,"US EPA 2024, An Assessment of the U.S. Recycling System: Financial Estimates to Improve Recycling Infrastructure, executive summary, p. ES-2",transcribed
,epa_all_investment_high,US_residential_packaging_and_organics,43000000000.0,USD,"US EPA 2024, An Assessment of the U.S. Recycling System: Financial Estimates to Improve Recycling Infrastructure, executive summary, p. ES-2",transcribed
,epa_all_added_recovery_low,US_residential_packaging_and_organics,82000000.0,tonnes_per_year,"US EPA 2024, An Assessment of the U.S. Recycling System: Financial Estimates to Improve Recycling Infrastructure, executive summary, p. ES-2",transcribed
,epa_all_added_recovery_high,US_residential_packaging_and_organics,89000000.0,tonnes_per_year,"US EPA 2024, An Assessment of the U.S. Recycling System: Financial Estimates to Improve Recycling Infrastructure, executive summary, p. ES-2",transcribed
,epa_all_rate_from,US_residential_packaging_and_organics,32.0,percent,"US EPA 2024, An Assessment of the U.S. Recycling System: Financial Estimates to Improve Recycling Infrastructure, executive summary, p. ES-2",transcribed
,epa_all_rate_to,US_residential_packaging_and_organics,61.0,percent,"US EPA 2024, An Assessment of the U.S. Recycling System: Financial Estimates to Improve Recycling Infrastructure, executive summary, p. ES-2",transcribed
,us_average_landfill_tipping_fee,US_MSW,53.72,USD_per_ton,"US EPA 2024, An Assessment of the U.S. Recycling System: Financial Estimates to Improve Recycling Infrastructure, section 5",transcribed
,us_regional_landfill_tipping_fee_low,US_MSW_South_Central,39.66,USD_per_ton,"US EPA 2024, An Assessment of the U.S. Recycling System: Financial Estimates to Improve Recycling Infrastructure, section 5",transcribed
,us_regional_landfill_tipping_fee_high,US_MSW_Northeast,72.03,USD_per_ton,"US EPA 2024, An Assessment of the U.S. Recycling System: Financial Estimates to Improve Recycling Infrastructure, section 5",transcribed
,cost_initial_sorting_low,plastics_flexibles,110.08,EUR_per_tonne_output,"Van Camp et al. 2024, Waste Management 189:300-313, abstract and section 4",transcribed
,cost_initial_sorting_high,plastics_flexibles,122.53,EUR_per_tonne_output,"Van Camp et al. 2024, Waste Management 189:300-313, abstract and section 4",transcribed
,cost_additional_sorting_and_improved_recycling_low,plastics_rPE_flex,566.26,EUR_per_tonne_output,"Van Camp et al. 2024, Waste Management 189:300-313, abstract and section 4",transcribed
,cost_additional_sorting_and_improved_recycling_high,plastics_rPP_film,735.47,EUR_per_tonne_output,"Van Camp et al. 2024, Waste Management 189:300-313, abstract and section 4",transcribed
,cost_reduction_from_rationalisation_low,plastics_flexibles,15.0,percent,"Van Camp et al. 2024, Waste Management 189:300-313, abstract",transcribed
,cost_reduction_from_rationalisation_high,plastics_flexibles,26.0,percent,"Van Camp et al. 2024, Waste Management 189:300-313, abstract",transcribed
,required_recycling_rate_to_break_even_mean,imported_plastic_waste,63.0,percent,"Li, Ward, Lin and Tukker 2024, Nature Communications 15:7527, abstract and results",transcribed
,observed_domestic_recycling_rate_mean,imported_plastic_waste,23.0,percent,"Li, Ward, Lin and Tukker 2024, Nature Communications 15:7527, abstract and results",transcribed
