year,series,value,unit,source,method
35,irf_co2_retained_fraction_at_horizon,0.530720635,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
36,irf_co2_retained_fraction_at_horizon,0.527259393,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
37,irf_co2_retained_fraction_at_horizon,0.523881929,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
38,irf_co2_retained_fraction_at_horizon,0.520585386,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
39,irf_co2_retained_fraction_at_horizon,0.51736711,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
40,irf_co2_retained_fraction_at_horizon,0.514224626,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
41,irf_co2_retained_fraction_at_horizon,0.511155606,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
42,irf_co2_retained_fraction_at_horizon,0.50815785,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
43,irf_co2_retained_fraction_at_horizon,0.505229268,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
44,irf_co2_retained_fraction_at_horizon,0.502367869,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
45,irf_co2_retained_fraction_at_horizon,0.499571748,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
46,irf_co2_retained_fraction_at_horizon,0.496839074,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
47,irf_co2_retained_fraction_at_horizon,0.494168088,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
48,irf_co2_retained_fraction_at_horizon,0.491557096,fraction of pulse,"Joos et al. 2013 ACP 13:2793-2825, Table 5, row IRF_CO2",evaluated
