year,series,region_or_material,value,unit,source,method
2011,rc,Nb,22.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table C1, p. 30; estimate from Cunningham, USGS (2004a)",transcribed_table_point
2011,eolrr,Nb,50.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table C1, p. 30; estimate from Cunningham, USGS (2004a)",transcribed_table_point
2011,eolrr,Nb,56.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table C1, p. 30; estimate from working group consensus",transcribed_table_point
2011,osr,Mo,33.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table C1, p. 30; estimate from working group consensus",transcribed_table_point
2011,osr,Mo,67.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table C1, p. 30; estimate from Blossom, USGS (2004)",transcribed_table_point
2011,rc,Mo,33.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table C1, p. 30; estimate from Blossom, USGS (2004)",transcribed_table_point
2011,eolrr,Mo,30.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table C1, p. 30; estimate from Blossom, USGS (2004)",transcribed_table_point
2011,osr,Mg,42.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Kramer, USGS (2004)",transcribed_table_point
2011,rc,Mg,33.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Kramer, USGS (2004)",transcribed_table_point
2011,eolrr,Mg,39.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Kramer, USGS (2004)",transcribed_table_point
2011,osr,Al,40.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Plunkert, USGS (2006)",transcribed_table_point
2011,osr,Al,50.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Zheng (2009)",transcribed_table_point
2011,rc,Al,34.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from IAI (2009)",transcribed_table_point
2011,rc,Al,36.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Plunkert, USGS (2006)",transcribed_table_point
2011,rc,Al,36.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Zheng (2009)",transcribed_table_point
2011,eolrr,Al,42.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Plunkert, USGS (2006)",transcribed_table_point
2011,eolrr,Al,60.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from IAI (2009)",transcribed_table_point
2011,eolrr,Al,70.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Zheng (2009)",transcribed_table_point
2011,osr,Ti,11.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Goonan, USGS (2010b)",transcribed_table_point
2011,rc,Ti,52.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Goonan, USGS (2010b)",transcribed_table_point
2011,eolrr,Ti,91.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Goonan, USGS (2010b)",transcribed_table_point
2011,osr,Co,50.0,percent,"UNEP IRP 2011, Recycling Rates of Metals, table D1, p. 31; estimate from Shedd, USGS (2004)",transcribed_table_point
