year,series,category,source_a,value_a,source_b,value_b,rel_diff
2003,N,non_metallic_minerals,unep_irp,26.56839678,haas2020,28.89290225,0.08382441489
2003,N,total,krausmann2018,60.88263583,krausmann2009,54.29396379,0.1144099073
2003,N,total,krausmann2009,54.29396379,unep_irp,62.43334388,0.1394597417
2003,N,total,krausmann2009,54.29396379,haas2020,60.88263584,0.1144099073
2004,N,biomass,krausmann2018,18.38029679,unep_irp,20.20180337,0.09442236542
2004,N,biomass,krausmann2009,18.92203895,unep_irp,20.20180337,0.06542120324
2004,N,biomass,unep_irp,20.20180337,haas2020,18.38029679,0.09442236542
2004,N,metals,krausmann2018,3.632155218,unep_irp,5.617109085,0.4292133519
2004,N,metals,unep_irp,5.617109085,haas2020,3.632155218,0.4292133519
2004,N,non_metallic_minerals,krausmann2018,30.23573492,unep_irp,28.35905091,0.06405634848
2004,N,non_metallic_minerals,unep_irp,28.35905091,haas2020,30.23573492,0.06405634848
2004,N,total,krausmann2018,63.82462409,krausmann2009,57.22548458,0.1090315338
2004,N,total,krausmann2009,57.22548458,unep_irp,65.79054711,0.1392511596
2004,N,total,krausmann2009,57.22548458,haas2020,63.82462409,0.1090315338
2005,N,biomass,krausmann2018,18.68878601,unep_irp,20.35605586,0.08540282251
2005,N,biomass,krausmann2009,19.14199961,unep_irp,20.35605586,0.06147422882
2005,N,biomass,unep_irp,20.35605586,haas2020,18.68878601,0.08540282251
2005,N,metals,krausmann2018,3.92441831,unep_irp,5.959010859,0.41171794
2005,N,metals,unep_irp,5.959010859,haas2020,3.92441831,0.41171794
2005,N,non_metallic_minerals,krausmann2018,31.79048185,unep_irp,29.94190463,0.05989002938
2005,N,non_metallic_minerals,unep_irp,29.94190463,haas2020,31.79048185,0.05989002938
2005,N,total,krausmann2018,66.43581979,krausmann2009,59.62960776,0.1079790417
2005,N,total,krausmann2009,59.62960776,unep_irp,68.30651078,0.1356443062
2005,N,total,krausmann2009,59.62960776,haas2020,66.43581979,0.1079790417
2006,N,biomass,krausmann2018,19.02984543,unep_irp,20.69977717,0.08406481767
2006,N,biomass,krausmann2009,19.4067684,unep_irp,20.69977717,0.06447869053
2006,N,biomass,unep_irp,20.69977717,haas2020,19.02984543,0.08406481767
2006,N,metals,krausmann2018,4.238860668,unep_irp,6.327064605,0.395271381
2006,N,metals,unep_irp,6.327064605,haas2020,4.238860668,0.395271381
2006,N,non_metallic_minerals,krausmann2018,34.19190032,unep_irp,31.79221358,0.07273528727
2006,N,non_metallic_minerals,unep_irp,31.79221358,haas2020,34.19190032,0.07273528727
2006,N,total,krausmann2018,69.89720846,krausmann2009,62.62137034,0.1098085746
2006,N,total,krausmann2009,62.62137034,unep_irp,71.42385556,0.1313360496
2006,N,total,krausmann2009,62.62137034,haas2020,69.89720846,0.1098085745
2007,N,biomass,krausmann2018,19.7396055,unep_irp,21.31715231,0.07684712063
2007,N,biomass,krausmann2009,19.92053444,unep_irp,21.31715231,0.06773502493
2007,N,biomass,unep_irp,21.31715231,haas2020,19.7396055,0.07684712063
2007,N,metals,krausmann2018,4.58537758,unep_irp,6.674502453,0.3710740908
2007,N,metals,unep_irp,6.674502453,haas2020,4.58537758,0.3710740908
2007,N,non_metallic_minerals,krausmann2018,35.74213056,unep_irp,33.20541498,0.07358392703
2007,N,non_metallic_minerals,unep_irp,33.20541498,haas2020,35.74213056,0.07358392703
2007,N,total,krausmann2018,72.75333144,krausmann2009,65.27231038,0.1084004532
2007,N,total,krausmann2009,65.27231038,unep_irp,74.25506736,0.1287597764
2007,N,total,krausmann2009,65.27231038,haas2020,72.75333144,0.1084004532
2008,N,biomass,krausmann2018,20.38369123,unep_irp,22.07607589,0.07971709573
2008,N,biomass,krausmann2009,20.42148273,unep_irp,22.07607589,0.07786768058
2008,N,biomass,unep_irp,22.07607589,haas2020,20.38369123,0.07971709573
2008,N,metals,krausmann2018,4.825261419,unep_irp,6.899045951,0.3537581311
2008,N,metals,unep_irp,6.899045951,haas2020,4.825261419,0.3537581311
2008,N,non_metallic_minerals,krausmann2018,35.68423339,unep_irp,33.04874988,0.07668759261
2008,N,non_metallic_minerals,unep_irp,33.04874988,haas2020,35.68423339,0.07668759261
2008,N,total,krausmann2018,73.87874914,krausmann2009,66.83880549,0.1000577884
2008,N,total,krausmann2009,66.83880549,unep_irp,75.37180256,0.1200050712
2008,N,total,krausmann2009,66.83880549,haas2020,73.87874914,0.1000577883
2009,N,biomass,krausmann2018,20.41650414,unep_irp,21.80793617,0.06590647595
2009,N,biomass,krausmann2009,20.28118419,unep_irp,21.80793617,0.07254853354
2009,N,biomass,unep_irp,21.80793617,haas2020,20.41650414,0.06590647595
2009,N,metals,krausmann2018,4.854106726,unep_irp,7.033333985,0.3666436388
2009,N,metals,unep_irp,7.033333985,haas2020,4.854106726,0.3666436388
2009,N,non_metallic_minerals,krausmann2018,37.00464274,unep_irp,33.50382376,0.09930208821
2009,N,non_metallic_minerals,unep_irp,33.50382376,haas2020,37.00464274,0.09930208821
2009,N,total,krausmann2018,75.18374798,krausmann2009,68.14068489,0.09828140184
2009,N,total,krausmann2009,68.14068489,unep_irp,75.74563472,0.1057077539
2009,N,total,krausmann2009,68.14068489,haas2020,75.18374799,0.09828140192
2010,N,biomass,krausmann2018,20.81683143,unep_irp,22.13615439,0.0614310244
2010,N,biomass,unep_irp,22.13615439,haas2020,20.81683143,0.0614310244
2010,N,metals,krausmann2018,5.253004725,unep_irp,7.642370101,0.3705771113
2010,N,metals,unep_irp,7.642370101,haas2020,5.253004725,0.3705771113
2010,N,non_metallic_minerals,krausmann2018,38.99414315,unep_irp,36.10051482,0.07706615645
2010,N,non_metallic_minerals,unep_irp,36.10051482,haas2020,38.99414315,0.07706615645
2011,N,biomass,krausmann2018,21.34257868,unep_irp,23.00233991,0.07485688475
2011,N,biomass,unep_irp,23.00233991,haas2020,21.34257868,0.07485688475
2011,N,metals,krausmann2018,5.784444466,unep_irp,8.223994483,0.348297198
2011,N,metals,unep_irp,8.223994483,haas2020,5.784444466,0.348297198
2011,N,non_metallic_minerals,krausmann2018,41.92154418,unep_irp,39.06706546,0.0704908686
2011,N,non_metallic_minerals,unep_irp,39.06706546,haas2020,41.92154418,0.0704908686
2012,N,biomass,krausmann2018,21.53982488,unep_irp,23.14314909,0.07176443587
2012,N,biomass,unep_irp,23.14314909,haas2020,21.53982488,0.07176443587
2012,N,metals,krausmann2018,5.835787412,unep_irp,8.424896937,0.3631115396
2012,N,metals,unep_irp,8.424896937,haas2020,5.835787412,0.3631115396
2013,N,biomass,krausmann2018,22.250732,unep_irp,23.99200328,0.07531004684
2013,N,biomass,unep_irp,23.99200328,haas2020,22.250732,0.07531004684
2013,N,metals,krausmann2018,6.246761714,unep_irp,9.028677933,0.364233866
2013,N,metals,unep_irp,9.028677933,haas2020,6.246761714,0.364233866
2014,N,biomass,krausmann2018,22.52203074,unep_irp,24.36443376,0.0785899743
2014,N,biomass,unep_irp,24.36443376,haas2020,22.52203074,0.0785899743
2014,N,metals,krausmann2018,6.417903538,unep_irp,9.347119252,0.3716094487
2014,N,metals,unep_irp,9.347119252,haas2020,6.417903538,0.3716094487
2014,N,non_metallic_minerals,krausmann2018,45.72674096,unep_irp,43.47462796,0.05049503225
2014,N,non_metallic_minerals,unep_irp,43.47462796,haas2020,45.72674096,0.05049503225
2015,N,biomass,krausmann2018,22.6824349,unep_irp,24.51546735,0.07767431867
2015,N,biomass,unep_irp,24.51546735,haas2020,22.6824349,0.07767431867
2015,N,metals,krausmann2018,6.462668367,unep_irp,9.405381707,0.3708979145
2015,N,metals,unep_irp,9.405381707,haas2020,6.462668367,0.3708979145
