year,series,category,value,unit,source,method
1900,DPO,total,13.6294012,Gt/yr,krausmann2018,observed
1901,DPO,total,13.82579026,Gt/yr,krausmann2018,observed
1902,DPO,total,14.00451064,Gt/yr,krausmann2018,observed
1903,DPO,total,14.38242894,Gt/yr,krausmann2018,observed
1904,DPO,total,14.53455514,Gt/yr,krausmann2018,observed
1905,DPO,total,14.83348334,Gt/yr,krausmann2018,observed
1906,DPO,total,15.19123103,Gt/yr,krausmann2018,observed
1907,DPO,total,15.69673184,Gt/yr,krausmann2018,observed
1908,DPO,total,15.63449492,Gt/yr,krausmann2018,observed
1909,DPO,total,15.92923256,Gt/yr,krausmann2018,observed
1910,DPO,total,16.23914195,Gt/yr,krausmann2018,observed
1911,DPO,total,16.47379753,Gt/yr,krausmann2018,observed
1912,DPO,total,16.85466012,Gt/yr,krausmann2018,observed
1913,DPO,total,17.32956296,Gt/yr,krausmann2018,observed
1914,DPO,total,16.99174479,Gt/yr,krausmann2018,observed
1915,DPO,total,17.10322868,Gt/yr,krausmann2018,observed
1916,DPO,total,17.5909669,Gt/yr,krausmann2018,observed
1917,DPO,total,17.9826879,Gt/yr,krausmann2018,observed
1918,DPO,total,18.04100674,Gt/yr,krausmann2018,observed
1919,DPO,total,17.63537491,Gt/yr,krausmann2018,observed
1920,DPO,total,18.41326399,Gt/yr,krausmann2018,observed
1921,DPO,total,17.8604347,Gt/yr,krausmann2018,observed
1922,DPO,total,18.35454751,Gt/yr,krausmann2018,observed
1923,DPO,total,19.150539,Gt/yr,krausmann2018,observed
1924,DPO,total,19.28671078,Gt/yr,krausmann2018,observed
1925,DPO,total,19.51665696,Gt/yr,krausmann2018,observed
1926,DPO,total,19.68191307,Gt/yr,krausmann2018,observed
1927,DPO,total,20.20390142,Gt/yr,krausmann2018,observed
1928,DPO,total,20.83208899,Gt/yr,krausmann2018,observed
1929,DPO,total,21.05702905,Gt/yr,krausmann2018,observed
1930,DPO,total,20.73542661,Gt/yr,krausmann2018,observed
1931,DPO,total,20.18603556,Gt/yr,krausmann2018,observed
1932,DPO,total,19.72222996,Gt/yr,krausmann2018,observed
1933,DPO,total,20.0615194,Gt/yr,krausmann2018,observed
1934,DPO,total,20.62007915,Gt/yr,krausmann2018,observed
1935,DPO,total,21.01776576,Gt/yr,krausmann2018,observed
1936,DPO,total,21.67667091,Gt/yr,krausmann2018,observed
1937,DPO,total,22.26325722,Gt/yr,krausmann2018,observed
1938,DPO,total,21.70065653,Gt/yr,krausmann2018,observed
1939,DPO,total,22.47140872,Gt/yr,krausmann2018,observed
1940,DPO,total,23.17957595,Gt/yr,krausmann2018,observed
1941,DPO,total,23.5246057,Gt/yr,krausmann2018,observed
1942,DPO,total,23.63428246,Gt/yr,krausmann2018,observed
1943,DPO,total,23.98022623,Gt/yr,krausmann2018,observed
1944,DPO,total,24.03656414,Gt/yr,krausmann2018,observed
1945,DPO,total,22.86254704,Gt/yr,krausmann2018,observed
1946,DPO,total,23.36032056,Gt/yr,krausmann2018,observed
1947,DPO,total,24.31959885,Gt/yr,krausmann2018,observed
1948,DPO,total,24.92245251,Gt/yr,krausmann2018,observed
1949,DPO,total,24.82363083,Gt/yr,krausmann2018,observed
1950,DPO,total,25.69750347,Gt/yr,krausmann2018,observed
1951,DPO,total,26.6267462,Gt/yr,krausmann2018,observed
1952,DPO,total,27.11652226,Gt/yr,krausmann2018,observed
1953,DPO,total,27.62643695,Gt/yr,krausmann2018,observed
1954,DPO,total,28.15769475,Gt/yr,krausmann2018,observed
1955,DPO,total,29.31042945,Gt/yr,krausmann2018,observed
1956,DPO,total,30.29845474,Gt/yr,krausmann2018,observed
1957,DPO,total,31.09933554,Gt/yr,krausmann2018,observed
1958,DPO,total,31.95186831,Gt/yr,krausmann2018,observed
1959,DPO,total,33.0646072,Gt/yr,krausmann2018,observed
1960,DPO,total,34.42388484,Gt/yr,krausmann2018,observed
1961,DPO,total,34.99423414,Gt/yr,krausmann2018,observed
1962,DPO,total,36.36370207,Gt/yr,krausmann2018,observed
1963,DPO,total,37.95709405,Gt/yr,krausmann2018,observed
1964,DPO,total,39.71856101,Gt/yr,krausmann2018,observed
1965,DPO,total,40.27103092,Gt/yr,krausmann2018,observed
1966,DPO,total,42.0531242,Gt/yr,krausmann2018,observed
1967,DPO,total,43.11050685,Gt/yr,krausmann2018,observed
1968,DPO,total,44.97366826,Gt/yr,krausmann2018,observed
1969,DPO,total,46.37099627,Gt/yr,krausmann2018,observed
1970,DPO,total,48.08671613,Gt/yr,krausmann2018,observed
1971,DPO,total,49.8154632,Gt/yr,krausmann2018,observed
1972,DPO,total,51.09656464,Gt/yr,krausmann2018,observed
1973,DPO,total,53.20297083,Gt/yr,krausmann2018,observed
1974,DPO,total,54.04243508,Gt/yr,krausmann2018,observed
1975,DPO,total,54.37696303,Gt/yr,krausmann2018,observed
1976,DPO,total,56.37914219,Gt/yr,krausmann2018,observed
1977,DPO,total,57.6402701,Gt/yr,krausmann2018,observed
1978,DPO,total,58.75300206,Gt/yr,krausmann2018,observed
1979,DPO,total,60.41806079,Gt/yr,krausmann2018,observed
1980,DPO,total,60.61090408,Gt/yr,krausmann2018,observed
1981,DPO,total,60.73106782,Gt/yr,krausmann2018,observed
1982,DPO,total,61.59228615,Gt/yr,krausmann2018,observed
1983,DPO,total,61.83022515,Gt/yr,krausmann2018,observed
1984,DPO,total,64.2040869,Gt/yr,krausmann2018,observed
1985,DPO,total,64.84233942,Gt/yr,krausmann2018,observed
1986,DPO,total,66.17428462,Gt/yr,krausmann2018,observed
1987,DPO,total,67.22291417,Gt/yr,krausmann2018,observed
1988,DPO,total,68.81088593,Gt/yr,krausmann2018,observed
1989,DPO,total,70.47284754,Gt/yr,krausmann2018,observed
1990,DPO,total,71.25002837,Gt/yr,krausmann2018,observed
1991,DPO,total,70.86438567,Gt/yr,krausmann2018,observed
1992,DPO,total,70.80577465,Gt/yr,krausmann2018,observed
1993,DPO,total,70.62292636,Gt/yr,krausmann2018,observed
1994,DPO,total,71.69903068,Gt/yr,krausmann2018,observed
1995,DPO,total,73.21494287,Gt/yr,krausmann2018,observed
1996,DPO,total,74.90667654,Gt/yr,krausmann2018,observed
1997,DPO,total,75.24254088,Gt/yr,krausmann2018,observed
1998,DPO,total,76.03586715,Gt/yr,krausmann2018,observed
1999,DPO,total,76.50652647,Gt/yr,krausmann2018,observed
2000,DPO,total,77.97644378,Gt/yr,krausmann2018,observed
2001,DPO,total,79.19376557,Gt/yr,krausmann2018,observed
2002,DPO,total,79.92733882,Gt/yr,krausmann2018,observed
2003,DPO,total,82.60960644,Gt/yr,krausmann2018,observed
2004,DPO,total,85.99743655,Gt/yr,krausmann2018,observed
2005,DPO,total,88.83967692,Gt/yr,krausmann2018,observed
2006,DPO,total,91.28827465,Gt/yr,krausmann2018,observed
2007,DPO,total,93.82266192,Gt/yr,krausmann2018,observed
2008,DPO,total,96.49650793,Gt/yr,krausmann2018,observed
2009,DPO,total,96.58242377,Gt/yr,krausmann2018,observed
2010,DPO,total,99.9218545,Gt/yr,krausmann2018,observed
2011,DPO,total,103.7295579,Gt/yr,krausmann2018,observed
2012,DPO,total,105.3396392,Gt/yr,krausmann2018,observed
2013,DPO,total,107.8388757,Gt/yr,krausmann2018,observed
2014,DPO,total,109.3863778,Gt/yr,krausmann2018,observed
2015,DPO,total,110.5508453,Gt/yr,krausmann2018,observed
1900,DPOstar,total,6.827716236,Gt/yr,krausmann2018,observed
1901,DPOstar,total,6.92610581,Gt/yr,krausmann2018,observed
1902,DPOstar,total,7.01990963,Gt/yr,krausmann2018,observed
1903,DPOstar,total,7.190582018,Gt/yr,krausmann2018,observed
1904,DPOstar,total,7.271186518,Gt/yr,krausmann2018,observed
1905,DPOstar,total,7.418113969,Gt/yr,krausmann2018,observed
1906,DPOstar,total,7.576956043,Gt/yr,krausmann2018,observed
1907,DPOstar,total,7.804200863,Gt/yr,krausmann2018,observed
1908,DPOstar,total,7.800897816,Gt/yr,krausmann2018,observed
1909,DPOstar,total,7.946189526,Gt/yr,krausmann2018,observed
1910,DPOstar,total,8.096439812,Gt/yr,krausmann2018,observed
1911,DPOstar,total,8.210939254,Gt/yr,krausmann2018,observed
1912,DPOstar,total,8.393532591,Gt/yr,krausmann2018,observed
1913,DPOstar,total,8.610128218,Gt/yr,krausmann2018,observed
1914,DPOstar,total,8.475953683,Gt/yr,krausmann2018,observed
1915,DPOstar,total,8.539640301,Gt/yr,krausmann2018,observed
1916,DPOstar,total,8.764269367,Gt/yr,krausmann2018,observed
1917,DPOstar,total,8.933117841,Gt/yr,krausmann2018,observed
1918,DPOstar,total,8.970437431,Gt/yr,krausmann2018,observed
1919,DPOstar,total,8.809125742,Gt/yr,krausmann2018,observed
1920,DPOstar,total,9.127851825,Gt/yr,krausmann2018,observed
1921,DPOstar,total,8.903112096,Gt/yr,krausmann2018,observed
1922,DPOstar,total,9.14292382,Gt/yr,krausmann2018,observed
1923,DPOstar,total,9.482668198,Gt/yr,krausmann2018,observed
1924,DPOstar,total,9.572460035,Gt/yr,krausmann2018,observed
1925,DPOstar,total,9.707870489,Gt/yr,krausmann2018,observed
1926,DPOstar,total,9.797738944,Gt/yr,krausmann2018,observed
