"Country","Category","Flow name","Flow code","Flow unit","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Afghanistan","Fossil fuels","Domestic Material Consumption","DMC","t","112769","194831","148305","158713","184820","212450","142973","218913","140820","171047","232077","277642","328767","408868","528112","627513","639185","339413","320386","307684","256008","239562","140714","135340","128940","122900","115500","105500","98300","90100","82900","102500","221178","204975","117575","161799","183097","399080","522870","698746","1009750","1752099","1354393","1429538","1570091","1242809","1281230","1489275","1638243","2156069"
"Afghanistan","Fossil fuels","Domestic Material Input","DMI","t","1705428","1739818","1899704","1839998","1935038","1966952","1681102","1674604","1625014","1537372","1968438","1897046","1857376","1942678","2061922","2161323","2172995","1450103","1201886","360574","256008","239562","140714","135340","128940","122900","115500","105500","98300","90100","82900","102500","221178","204975","117575","161799","183097","399080","522870","706746","1029750","1798099","1557393","1660538","1822091","1667809","2014230","2503275","2755243","2928069"
"Afghanistan","Fossil fuels","Exports","EXP","t","1592659","1544987","1751399","1681285","1750218","1754502","1538129","1455691","1484194","1366325","1736361","1619404","1528609","1533810","1533810","1533810","1533810","1110690","881500","52890","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8000","20000","46000","203000","231000","252000","425000","733000","1014000","1117000","772000"
"Afghanistan","Fossil fuels","Imports","IMP","t","0","0","1000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8000","28000","43000","67000","107000","205000","205000","205000","205000","205000","200100","200100","202600","202600","202600"
"Afghanistan","Fossil fuels","Physical Trade Balance","PTB","t","-1592659","-1544987","-1750399","-1681285","-1750218","-1754502","-1538129","-1455691","-1484194","-1366325","-1736361","-1619404","-1528609","-1533810","-1533810","-1533810","-1533810","-1110690","-881500","-52890","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8000","28000","43000","67000","99000","185000","159000","2000","-26000","-47000","-224900","-532900","-811400","-914400","-569400"
"Afghanistan","Fossil fuels","Raw Material Consumption","RMC","t","2348893","2415592","2554363","2622996","2750352","2860031","2647221","2719557","2692480","2827827","3210147","3004652","3022829","3132974","3299633","3536021","3666263","3162948","3178160","2624357","2569956","3356215","5243292","4811902","3746266","4397407","3676381","4426570","4844042","4128646","5114278","5622202","6907481","8752965","7291740","8559859","4702907","4342286","3971444","2458478","2863457","4021098","4215303","4118286","3917726","4075304","4363831","4572365","4452205","5280417"
"Afghanistan","Fossil fuels","Raw Material Equivalents of exports","RME_EXP","t","278226","283837","309757","300180","315685","320892","274258","273197","265107","250809","323757","312243","306212","320128","339648","355930","358033","240253","199120","61624","44080","55678","46294","41612","37256","32282","27067","25544","25894","23541","20854","27226","49866","62056","32089","49323","42454","115161","148837","197686","200587","308468","223727","267782","280704","262228","246938","391585","354217","298956"
"Afghanistan","Fossil fuels","Raw Material Equivalents of imports","RME_IMP","t","921691","959610","965417","1083178","1130999","1213971","1240377","1318151","1332573","1541265","1565467","1419848","1471664","1510424","1577359","1730628","1851301","1953099","2175393","2325407","2358028","3172331","5148873","4718173","3654583","4306789","3587949","4346615","4771636","4062087","5052232","5546928","6736169","8610047","7206255","8455383","4590264","4101367","3664411","2056418","2239294","2736466","3086637","2930530","2581339","2869823","2796639","2663274","2253780","2853904"
"Afghanistan","Metal ores","Domestic Extraction","DE","t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","148976","211683","126929","82870","147582","222275","248368","261630","286547","312107","338136","7273","6491","6491","6000","4500","4500","4678","22993","36317","35630","34493","34448","34448","34278"
"Afghanistan","Metal ores","Domestic Material Consumption","DMC","t","42","1802","1056","1126","6509","8657","7274","6447","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","148976","211683","126929","82870","147582","222275","248368","261630","286547","312107","338136","7273","6491","115338","26215","68384","101372","4678","22993","36317","71200","79073","34448","427507","430890"
"Afghanistan","Metal ores","Domestic Material Input","DMI","t","42","1802","1056","1126","6509","8659","7274","11517","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","148976","211683","126929","82870","147582","222275","248368","261630","286547","312107","338136","7273","6491","115338","26215","68384","101372","4678","22993","36317","71512","79085","34448","432211","435595"
"Afghanistan","Metal ores","Exports","EXP","t","0","0","0","0","0","1","0","5070","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","311","12","0","4705","4705"
"Afghanistan","Metal ores","Imports","IMP","t","42","1802","1056","1126","6509","8659","7274","11517","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","108847","20215","63884","96872","0","0","0","35881","44592","0","397763","401316"
"Afghanistan","Metal ores","Physical Trade Balance","PTB","t","42","1802","1056","1126","6509","8657","7274","6447","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","108847","20215","63884","96872","0","0","0","35570","44579","0","393058","396612"
